lambda,method,rank,candidate_idx,x_merc,y_merc,coef
0.0,greedy,0,34,10259802.904825,2414538.405518,0.38952842477737515
0.0,greedy,1,37,10259702.904825,2414588.405518,0.3792666296570971
0.0,greedy,2,35,10259852.904825,2414538.405518,0.3775076080680148
0.0,greedy,3,32,10259702.904825,2414538.405518,0.3730081136823801
0.0,greedy,4,25,10259752.904825,2414488.405518,0.355419909330261
0.0,greedy,5,33,10259752.904825,2414538.405518,0.3533708803831862
0.0,greedy,6,26,10259852.904825,2414488.405518,0.32052282520954506
0.0,greedy,7,24,10259852.904825,2414438.405518,0.30527184453638617
0.0,greedy,8,27,10259902.904825,2414488.405518,0.28591021239353503
0.0,greedy,9,31,10259652.904825,2414538.405518,0.2787073494335096
0.0,greedy,10,22,10259702.904825,2414388.405518,0.2704308039378179
0.0,greedy,11,23,10259752.904825,2414388.405518,0.26974340910900335
0.0,greedy,12,19,10259752.904825,2414338.405518,0.26181152706906635
0.0,greedy,13,18,10259702.904825,2414338.405518,0.23407815642301147
0.0,greedy,14,16,10259702.904825,2414288.405518,0.21701484375503943
0.0,greedy,15,15,10259652.904825,2414288.405518,0.19167932073829125
0.0,greedy,16,11,10259652.904825,2414238.405518,0.17760348143125698
0.0,greedy,17,30,10259602.904825,2414538.405518,0.15378101860894877
0.0,greedy,18,44,10259552.904825,2414088.405518,0.146421171371826
0.0,greedy,19,14,10259602.904825,2414288.405518,0.13025078192409753
0.0,ip,0,11,10259652.904825,2414238.405518,0.17760348143125698
0.0,ip,1,14,10259602.904825,2414288.405518,0.13025078192409753
0.0,ip,2,15,10259652.904825,2414288.405518,0.19167932073829125
0.0,ip,3,16,10259702.904825,2414288.405518,0.21701484375503943
0.0,ip,4,18,10259702.904825,2414338.405518,0.23407815642301147
0.0,ip,5,19,10259752.904825,2414338.405518,0.26181152706906635
0.0,ip,6,22,10259702.904825,2414388.405518,0.2704308039378179
0.0,ip,7,23,10259752.904825,2414388.405518,0.26974340910900335
0.0,ip,8,24,10259852.904825,2414438.405518,0.30527184453638617
0.0,ip,9,25,10259752.904825,2414488.405518,0.355419909330261
0.0,ip,10,26,10259852.904825,2414488.405518,0.32052282520954506
0.0,ip,11,27,10259902.904825,2414488.405518,0.28591021239353503
0.0,ip,12,30,10259602.904825,2414538.405518,0.15378101860894877
0.0,ip,13,31,10259652.904825,2414538.405518,0.2787073494335096
0.0,ip,14,32,10259702.904825,2414538.405518,0.3730081136823801
0.0,ip,15,33,10259752.904825,2414538.405518,0.3533708803831862
0.0,ip,16,34,10259802.904825,2414538.405518,0.38952842477737515
0.0,ip,17,35,10259852.904825,2414538.405518,0.3775076080680148
0.0,ip,18,37,10259702.904825,2414588.405518,0.3792666296570971
0.0,ip,19,44,10259552.904825,2414088.405518,0.146421171371826
0.25,greedy,0,34,10259802.904825,2414538.405518,0.5419761134697758
0.25,greedy,1,37,10259702.904825,2414588.405518,0.5342533919607135
0.25,greedy,2,35,10259852.904825,2414538.405518,0.5329291064966721
0.25,greedy,3,32,10259702.904825,2414538.405518,0.529498751582444
0.25,greedy,4,25,10259752.904825,2414488.405518,0.5161656161858533
0.25,greedy,5,33,10259752.904825,2414538.405518,0.5146131535420122
0.25,greedy,6,26,10259852.904825,2414488.405518,0.48973529163030183
0.25,greedy,7,24,10259852.904825,2414438.405518,0.4777857440620539
0.25,greedy,8,27,10259902.904825,2414488.405518,0.4636870336430597
0.25,greedy,9,31,10259652.904825,2414538.405518,0.4584401843556781
0.25,greedy,10,22,10259702.904825,2414388.405518,0.4510030013491682
0.25,greedy,11,23,10259752.904825,2414388.405518,0.44984608649819074
0.25,greedy,12,19,10259752.904825,2414338.405518,0.4433194931796727
0.25,greedy,13,18,10259702.904825,2414338.405518,0.42080482895484805
0.25,greedy,14,16,10259702.904825,2414288.405518,0.4050829725203714
0.25,greedy,15,15,10259652.904825,2414288.405518,0.3863015788566021
0.25,greedy,16,11,10259652.904825,2414238.405518,0.37537095903002177
0.25,greedy,17,30,10259602.904825,2414538.405518,0.36447056018232654
0.25,greedy,18,8,10259652.904825,2414188.405518,0.3258379753113374
0.25,greedy,19,38,10259552.904825,2414638.405518,0.3138431069590352
0.25,ip,0,8,10259652.904825,2414188.405518,0.3258379753113374
0.25,ip,1,11,10259652.904825,2414238.405518,0.37537095903002177
0.25,ip,2,15,10259652.904825,2414288.405518,0.3863015788566021
0.25,ip,3,16,10259702.904825,2414288.405518,0.4050829725203714
0.25,ip,4,18,10259702.904825,2414338.405518,0.42080482895484805
0.25,ip,5,19,10259752.904825,2414338.405518,0.4433194931796727
0.25,ip,6,22,10259702.904825,2414388.405518,0.4510030013491682
0.25,ip,7,23,10259752.904825,2414388.405518,0.44984608649819074
0.25,ip,8,24,10259852.904825,2414438.405518,0.4777857440620539
0.25,ip,9,25,10259752.904825,2414488.405518,0.5161656161858533
0.25,ip,10,26,10259852.904825,2414488.405518,0.48973529163030183
0.25,ip,11,27,10259902.904825,2414488.405518,0.4636870336430597
0.25,ip,12,30,10259602.904825,2414538.405518,0.36447056018232654
0.25,ip,13,31,10259652.904825,2414538.405518,0.4584401843556781
0.25,ip,14,32,10259702.904825,2414538.405518,0.529498751582444
0.25,ip,15,33,10259752.904825,2414538.405518,0.5146131535420122
0.25,ip,16,34,10259802.904825,2414538.405518,0.5419761134697758
0.25,ip,17,35,10259852.904825,2414538.405518,0.5329291064966721
0.25,ip,18,37,10259702.904825,2414588.405518,0.5342533919607135
0.25,ip,19,38,10259552.904825,2414638.405518,0.3138431069590352
0.5,greedy,0,34,10259802.904825,2414538.405518,0.6944238021621765
0.5,greedy,1,37,10259702.904825,2414588.405518,0.6892401542643298
0.5,greedy,2,35,10259852.904825,2414538.405518,0.6883506049253295
0.5,greedy,3,32,10259702.904825,2414538.405518,0.6859893894825079
0.5,greedy,4,25,10259752.904825,2414488.405518,0.6769113230414456
0.5,greedy,5,33,10259752.904825,2414538.405518,0.6758554267008383
0.5,greedy,6,26,10259852.904825,2414488.405518,0.6589477580510587
0.5,greedy,7,24,10259852.904825,2414438.405518,0.6502996435877216
0.5,greedy,8,27,10259902.904825,2414488.405518,0.6414638548925844
0.5,greedy,9,31,10259652.904825,2414538.405518,0.6381730192778468
0.5,greedy,10,22,10259702.904825,2414388.405518,0.6315751987605185
0.5,greedy,11,23,10259752.904825,2414388.405518,0.6299487638873782
0.5,greedy,12,19,10259752.904825,2414338.405518,0.6248274592902789
0.5,greedy,13,18,10259702.904825,2414338.405518,0.6075315014866846
